Sales_Date,Sales_Year,Sales_Quarter,Sales_Month,Sales_Week,Sales_Day
12/08/2006,2006,4,12,2,8
08/10/2008,2008,3,8,2,10
01/19/2005,2005,1,1,3,19
01/19/2005,2005,1,1,3,19
09/19/2009,2009,3,9,3,19
08/10/2005,2005,3,8,2,10
08/10/2005,2005,3,8,2,10
09/19/2005,2005,3,9,3,19
08/10/2007,2007,3,8,2,10
08/10/2007,2007,3,8,2,10
08/10/2007,2007,3,8,2,10
09/10/2007,2007,3,9,2,10
09/10/2006,2006,3,9,2,10
09/10/2006,2006,3,9,2,10
05/26/2005,2005,2,5,4,26
05/26/2006,2006,2,5,4,26
05/26/2007,2007,2,5,4,26
05/26/2007,2007,2,5,4,26
05/26/2007,2007,2,5,4,26
09/26/2009,2009,3,9,4,26
03/10/2009,2009,1,3,2,10
05/26/2009,2009,2,5,4,26
05/26/2009,2009,2,5,4,26
01/19/2008,2008,1,1,3,19
01/19/2008,2008,1,1,3,19
09/28/2010,2010,3,9,4,28
05/31/2010,2010,2,5,4,31
12/26/2009,2009,4,12,4,26
09/20/2010,2010,3,9,3,20
11/27/2006,2006,4,11,4,27
11/27/2006,2006,4,11,4,27
11/27/2006,2006,4,11,4,27
11/27/2006,2006,4,11,4,27
11/27/2006,2006,4,11,4,27
11/27/2007,2007,4,11,4,27
11/27/2008,2008,4,11,4,27
11/27/2008,2008,4,11,4,27
11/27/2008,2008,4,11,4,27
11/27/2009,2009,4,11,4,27
06/26/2009,2009,2,6,4,26
04/27/2010,2010,2,4,4,27
04/27/2010,2010,2,4,4,27
06/26/2006,2006,2,6,4,26
06/26/2006,2006,2,6,4,26
06/26/2006,2006,2,6,4,26
06/26/2006,2006,2,6,4,26
06/26/2005,2005,2,6,4,26
09/18/2007,2007,3,9,3,18
04/30/2009,2009,2,4,4,30
07/15/2010,2010,3,7,2,15
04/12/2009,2009,2,4,2,12
08/02/2010,2010,3,8,1,2
09/18/2005,2005,3,9,3,18
09/18/2005,2005,3,9,3,18
04/30/2005,2005,2,4,4,30
04/30/2007,2007,2,4,4,30
04/30/2006,2006,2,4,4,30
04/30/2006,2006,2,4,4,30
07/08/2010,2010,3,7,2,8
07/08/2010,2010,3,7,2,8
07/08/2010,2010,3,7,2,8
09/11/2005,2005,3,9,2,11
09/11/2006,2006,3,9,2,11
09/11/2006,2006,3,9,2,11
09/11/2007,2007,3,9,2,11
05/03/2005,2005,2,5,1,3
05/03/2007,2007,2,5,1,3
05/03/2007,2007,2,5,1,3
05/03/2007,2007,2,5,1,3
05/03/2007,2007,2,5,1,3
05/03/2006,2006,2,5,1,3
05/03/2009,2009,2,5,1,3
05/03/2008,2008,2,5,1,3
09/11/2008,2008,3,9,2,11
09/06/2010,2010,3,9,1,6
08/26/2008,2008,3,8,4,26
08/26/2008,2008,3,8,4,26
03/21/2009,2009,1,3,3,21
03/16/2006,2006,1,3,3,16
08/26/2005,2005,3,8,4,26
08/26/2005,2005,3,8,4,26
03/21/2006,2006,1,3,3,21
08/26/2007,2007,3,8,4,26
08/26/2007,2007,3,8,4,26
07/09/2008,2008,3,7,2,9
07/09/2009,2009,3,7,2,9
07/09/2009,2009,3,7,2,9
07/09/2009,2009,3,7,2,9
07/09/2009,2009,3,7,2,9
03/29/2006,2006,1,3,4,29
03/29/2005,2005,1,3,4,29
03/29/2005,2005,1,3,4,29
03/29/2008,2008,1,3,4,29
03/29/2009,2009,1,3,4,29
07/09/2005,2005,3,7,2,9
08/30/2010,2010,3,8,4,30
08/30/2010,2010,3,8,4,30
12/04/2005,2005,4,12,1,4
07/01/2009,2009,3,7,1,1
07/01/2005,2005,3,7,1,1
07/01/2005,2005,3,7,1,1
07/01/2005,2005,3,7,1,1
07/01/2006,2006,3,7,1,1
07/01/2006,2006,3,7,1,1
02/22/2010,2010,1,2,3,22
02/26/2007,2007,1,2,4,26
08/26/2005,2005,3,8,4,26
08/26/2005,2005,3,8,4,26
08/26/2005,2005,3,8,4,26
10/14/2009,2009,4,10,2,14
10/14/2008,2008,4,10,2,14
02/16/2009,2009,1,2,3,16
10/14/2007,2007,4,10,2,14
08/26/2009,2009,3,8,4,26
02/26/2009,2009,1,2,4,26
02/26/2009,2009,1,2,4,26
02/26/2008,2008,1,2,4,26
02/26/2008,2008,1,2,4,26
02/26/2008,2008,1,2,4,26
08/01/2009,2009,3,8,1,1
07/16/2009,2009,3,7,3,16
07/16/2008,2008,3,7,3,16
09/22/2010,2010,3,9,3,22
09/22/2010,2010,3,9,3,22
06/01/2009,2009,2,6,1,1
07/28/2007,2007,3,7,4,28
07/28/2007,2007,3,7,4,28
02/20/2008,2008,1,2,3,20
02/12/2008,2008,1,2,2,12
02/12/2008,2008,1,2,2,12
08/06/2010,2010,3,8,1,6
08/19/2009,2009,3,8,3,19
08/19/2009,2009,3,8,3,19
02/12/2009,2009,1,2,2,12
07/28/2009,2009,3,7,4,28
07/28/2008,2008,3,7,4,28
07/28/2008,2008,3,7,4,28
07/28/2008,2008,3,7,4,28
02/20/2005,2005,1,2,3,20
02/20/2005,2005,1,2,3,20
02/20/2005,2005,1,2,3,20
05/15/2006,2006,2,5,2,15
05/15/2006,2006,2,5,2,15
05/15/2006,2006,2,5,2,15
05/15/2005,2005,2,5,2,15
12/31/2006,2006,4,12,4,31
12/31/2005,2005,4,12,4,31
10/17/2009,2009,4,10,3,17
02/28/2009,2009,1,2,4,28
11/04/2008,2008,4,11,1,4
11/04/2008,2008,4,11,1,4
02/12/2005,2005,1,2,2,12
10/12/2009,2009,4,10,2,12
02/16/2007,2007,1,2,3,16
02/16/2007,2007,1,2,3,16
11/09/2006,2006,4,11,2,9
11/09/2007,2007,4,11,2,9
11/09/2007,2007,4,11,2,9
10/12/2005,2005,4,10,2,12
10/12/2005,2005,4,10,2,12
11/09/2005,2005,4,11,2,9
11/09/2005,2005,4,11,2,9
04/12/2010,2010,2,4,2,12
04/12/2010,2010,2,4,2,12
05/22/2010,2010,2,5,3,22
10/06/2010,2010,4,10,1,6
05/13/2010,2010,2,5,2,13
05/13/2010,2010,2,5,2,13
02/09/2010,2010,1,2,2,9
05/20/2009,2009,2,5,3,20
05/20/2009,2009,2,5,3,20
05/20/2009,2009,2,5,3,20
01/22/2008,2008,1,1,3,22
12/30/2007,2007,4,12,4,30
04/03/2009,2009,2,4,1,3
04/03/2009,2009,2,4,1,3
12/30/2006,2006,4,12,4,30
07/04/2008,2008,3,7,1,4
06/20/2007,2007,2,6,3,20
06/20/2006,2006,2,6,3,20
06/20/2006,2006,2,6,3,20
11/20/2006,2006,4,11,3,20
10/27/2009,2009,4,10,4,27
10/27/2009,2009,4,10,4,27
10/27/2008,2008,4,10,4,27
10/27/2008,2008,4,10,4,27
10/27/2008,2008,4,10,4,27
03/05/2010,2010,1,3,1,5
03/05/2010,2010,1,3,1,5
06/20/2008,2008,2,6,3,20
12/21/2009,2009,4,12,3,21
12/21/2008,2008,4,12,3,21
12/21/2008,2008,4,12,3,21
06/27/2007,2007,2,6,4,27
06/27/2007,2007,2,6,4,27
10/19/2009,2009,4,10,3,19
10/19/2008,2008,4,10,3,19
10/19/2006,2006,4,10,3,19
10/19/2006,2006,4,10,3,19
10/19/2006,2006,4,10,3,19
06/27/2008,2008,2,6,4,27
12/21/2005,2005,4,12,3,21
12/21/2005,2005,4,12,3,21
12/21/2007,2007,4,12,3,21
12/21/2007,2007,4,12,3,21
12/21/2007,2007,4,12,3,21
02/28/2008,2008,1,2,4,28
04/12/2006,2006,2,4,2,12
04/12/2006,2006,2,4,2,12
02/28/2005,2005,1,2,4,28
02/28/2007,2007,1,2,4,28
02/28/2007,2007,1,2,4,28
02/28/2006,2006,1,2,4,28
12/11/2008,2008,4,12,2,11
12/11/2008,2008,4,12,2,11
12/11/2009,2009,4,12,2,11
12/11/2009,2009,4,12,2,11
05/23/2007,2007,2,5,4,23
04/10/2005,2005,2,4,2,10
07/29/2008,2008,3,7,4,29
07/29/2008,2008,3,7,4,29
07/29/2008,2008,3,7,4,29
07/29/2008,2008,3,7,4,29
09/12/2006,2006,3,9,2,12
09/12/2006,2006,3,9,2,12
09/12/2006,2006,3,9,2,12
09/12/2009,2009,3,9,2,12
09/12/2009,2009,3,9,2,12
09/12/2009,2009,3,9,2,12
09/12/2008,2008,3,9,2,12
07/29/2005,2005,3,7,4,29
12/11/2005,2005,4,12,2,11
12/11/2006,2006,4,12,2,11
12/11/2006,2006,4,12,2,11
12/11/2007,2007,4,12,2,11
03/13/2008,2008,1,3,2,13
03/13/2008,2008,1,3,2,13
03/13/2008,2008,1,3,2,13
03/13/2008,2008,1,3,2,13
05/02/2010,2010,2,5,1,2
05/02/2010,2010,2,5,1,2
05/02/2010,2010,2,5,1,2
05/02/2010,2010,2,5,1,2
05/02/2010,2010,2,5,1,2
01/10/2009,2009,1,1,2,10
01/22/2010,2010,1,1,3,22
01/22/2010,2010,1,1,3,22
12/05/2009,2009,4,12,1,5
12/05/2009,2009,4,12,1,5
03/13/2006,2006,1,3,2,13
03/13/2007,2007,1,3,2,13
03/13/2007,2007,1,3,2,13
03/13/2007,2007,1,3,2,13
05/16/2009,2009,2,5,3,16
05/16/2009,2009,2,5,3,16
05/16/2008,2008,2,5,3,16
08/06/2008,2008,3,8,1,6
12/05/2008,2008,4,12,1,5
12/05/2008,2008,4,12,1,5
12/05/2008,2008,4,12,1,5
12/05/2008,2008,4,12,1,5
01/21/2010,2010,1,1,3,21
01/21/2010,2010,1,1,3,21
09/14/2010,2010,3,9,2,14
05/16/2007,2007,2,5,3,16
08/06/2005,2005,3,8,1,6
12/26/2005,2005,4,12,4,26
05/08/2005,2005,2,5,2,8
12/26/2007,2007,4,12,4,26
09/12/2009,2009,3,9,2,12
05/08/2008,2008,2,5,2,8
05/08/2008,2008,2,5,2,8
05/08/2009,2009,2,5,2,8
05/08/2009,2009,2,5,2,8
09/12/2005,2005,3,9,2,12
09/12/2005,2005,3,9,2,12
09/12/2005,2005,3,9,2,12
11/11/2005,2005,4,11,2,11
11/11/2005,2005,4,11,2,11
11/11/2006,2006,4,11,2,11
08/30/2006,2006,3,8,4,30
12/27/2008,2008,4,12,4,27
01/29/2010,2010,1,1,4,29
01/29/2010,2010,1,1,4,29
01/29/2010,2010,1,1,4,29
02/16/2010,2010,1,2,3,16
11/11/2009,2009,4,11,2,11
11/11/2009,2009,4,11,2,11
05/21/2010,2010,2,5,3,21
04/06/2009,2009,2,4,1,6
04/06/2008,2008,2,4,1,6
04/06/2005,2005,2,4,1,6
04/06/2005,2005,2,4,1,6
09/09/2006,2006,3,9,2,9
04/06/2007,2007,2,4,1,6
04/06/2006,2006,2,4,1,6
06/29/2010,2010,2,6,4,29
05/07/2007,2007,2,5,1,7
05/07/2007,2007,2,5,1,7
08/24/2005,2005,3,8,4,24
08/24/2007,2007,3,8,4,24
03/28/2008,2008,1,3,4,28
05/03/2005,2005,2,5,1,3
09/20/2007,2007,3,9,3,20
01/22/2010,2010,1,1,3,22
08/24/2009,2009,3,8,4,24
08/24/2009,2009,3,8,4,24
08/24/2008,2008,3,8,4,24
01/11/2005,2005,1,1,2,11
05/11/2007,2007,2,5,2,11
08/25/2005,2005,3,8,4,25
08/25/2005,2005,3,8,4,25
08/25/2009,2009,3,8,4,25
08/25/2009,2009,3,8,4,25
08/25/2009,2009,3,8,4,25
08/25/2008,2008,3,8,4,25
08/25/2008,2008,3,8,4,25
08/25/2008,2008,3,8,4,25
08/25/2008,2008,3,8,4,25
08/25/2008,2008,3,8,4,25
06/17/2009,2009,2,6,3,17
06/17/2009,2009,2,6,3,17
06/17/2009,2009,2,6,3,17
06/17/2009,2009,2,6,3,17
01/11/2008,2008,1,1,2,11
12/18/2006,2006,4,12,3,18
12/18/2006,2006,4,12,3,18
12/18/2005,2005,4,12,3,18
12/18/2005,2005,4,12,3,18
12/18/2005,2005,4,12,3,18
06/30/2010,2010,2,6,4,30
06/30/2010,2010,2,6,4,30
01/21/2006,2006,1,1,3,21
01/21/2006,2006,1,1,3,21
12/18/2008,2008,4,12,3,18
12/18/2008,2008,4,12,3,18
06/06/2010,2010,2,6,1,6
04/01/2007,2007,2,4,1,1
04/01/2006,2006,2,4,1,1
04/06/2007,2007,2,4,1,6
04/06/2007,2007,2,4,1,6
09/12/2005,2005,3,9,2,12
03/12/2005,2005,1,3,2,12
03/12/2005,2005,1,3,2,12
12/08/2005,2005,4,12,2,8
12/08/2007,2007,4,12,2,8
12/08/2006,2006,4,12,2,8
04/06/2009,2009,2,4,1,6
04/06/2009,2009,2,4,1,6
04/01/2009,2009,2,4,1,1
10/28/2010,2010,4,10,4,28
10/28/2010,2010,4,10,4,28
10/28/2010,2010,4,10,4,28
10/28/2010,2010,4,10,4,28
10/28/2010,2010,4,10,4,28
07/06/2008,2008,3,7,1,6
07/06/2009,2009,3,7,1,6
11/07/2009,2009,4,11,1,7
11/07/2009,2009,4,11,1,7
02/09/2005,2005,1,2,2,9
02/09/2005,2005,1,2,2,9
03/28/2006,2006,1,3,4,28
02/09/2007,2007,1,2,2,9
02/09/2007,2007,1,2,2,9
02/09/2007,2007,1,2,2,9
02/09/2006,2006,1,2,2,9
02/09/2009,2009,1,2,2,9
02/09/2008,2008,1,2,2,9
02/09/2008,2008,1,2,2,9
03/28/2009,2009,1,3,4,28
03/28/2009,2009,1,3,4,28
11/07/2006,2006,4,11,1,7
11/07/2006,2006,4,11,1,7
11/07/2007,2007,4,11,1,7
07/06/2007,2007,3,7,1,6
11/10/2005,2005,4,11,2,10
11/10/2005,2005,4,11,2,10
11/10/2007,2007,4,11,2,10
11/10/2006,2006,4,11,2,10
11/10/2006,2006,4,11,2,10
11/10/2006,2006,4,11,2,10
11/10/2008,2008,4,11,2,10
12/03/2006,2006,4,12,1,3
12/03/2006,2006,4,12,1,3
12/03/2007,2007,4,12,1,3
12/03/2007,2007,4,12,1,3
12/03/2007,2007,4,12,1,3
10/12/2009,2009,4,10,2,12
06/23/2008,2008,2,6,4,23
08/06/2007,2007,3,8,1,6
02/24/2007,2007,1,2,4,24
02/24/2007,2007,1,2,4,24
02/24/2007,2007,1,2,4,24
02/24/2009,2009,1,2,4,24
02/24/2009,2009,1,2,4,24
02/06/2010,2010,1,2,1,6
02/06/2010,2010,1,2,1,6
08/06/2008,2008,3,8,1,6
08/06/2008,2008,3,8,1,6
07/18/2009,2009,3,7,3,18
07/18/2009,2009,3,7,3,18
07/18/2009,2009,3,7,3,18
12/18/2009,2009,4,12,3,18
12/16/2008,2008,4,12,3,16
09/11/2009,2009,3,9,2,11
09/11/2009,2009,3,9,2,11
09/04/2005,2005,3,9,1,4
09/04/2007,2007,3,9,1,4
09/04/2007,2007,3,9,1,4
06/17/2006,2006,2,6,3,17
09/04/2009,2009,3,9,1,4
09/04/2008,2008,3,9,1,4
12/16/2006,2006,4,12,3,16
12/16/2007,2007,4,12,3,16
12/16/2005,2005,4,12,3,16
02/16/2005,2005,1,2,3,16
08/12/2009,2009,3,8,2,12
05/26/2007,2007,2,5,4,26
05/26/2007,2007,2,5,4,26
11/23/2006,2006,4,11,4,23
05/26/2005,2005,2,5,4,26
11/23/2008,2008,4,11,4,23
11/23/2008,2008,4,11,4,23
11/23/2009,2009,4,11,4,23
11/23/2009,2009,4,11,4,23
11/23/2009,2009,4,11,4,23
05/26/2008,2008,2,5,4,26
05/26/2009,2009,2,5,4,26
08/12/2006,2006,3,8,2,12
08/12/2007,2007,3,8,2,12
07/30/2010,2010,3,7,4,30
01/20/2007,2007,1,1,3,20
01/20/2005,2005,1,1,3,20
01/20/2005,2005,1,1,3,20
01/20/2005,2005,1,1,3,20
02/02/2008,2008,1,2,1,2
02/02/2008,2008,1,2,1,2
02/02/2008,2008,1,2,1,2
02/02/2007,2007,1,2,1,2
01/20/2009,2009,1,1,3,20
01/20/2008,2008,1,1,3,20
01/16/2005,2005,1,1,3,16
11/05/2006,2006,4,11,1,5
11/05/2006,2006,4,11,1,5
01/16/2006,2006,1,1,3,16
01/16/2006,2006,1,1,3,16
09/14/2010,2010,3,9,2,14
09/14/2010,2010,3,9,2,14
11/05/2008,2008,4,11,1,5
11/05/2008,2008,4,11,1,5
01/16/2008,2008,1,1,3,16
01/16/2008,2008,1,1,3,16
01/16/2008,2008,1,1,3,16
12/12/2006,2006,4,12,2,12
12/12/2006,2006,4,12,2,12
11/11/2009,2009,4,11,2,11
11/07/2009,2009,4,11,1,7
11/07/2009,2009,4,11,1,7
11/07/2007,2007,4,11,1,7
11/07/2006,2006,4,11,1,7
11/11/2008,2008,4,11,2,11
11/11/2008,2008,4,11,2,11
11/11/2008,2008,4,11,2,11
01/16/2006,2006,1,1,3,16
01/16/2006,2006,1,1,3,16
01/21/2008,2008,1,1,3,21
01/21/2009,2009,1,1,3,21
04/22/2009,2009,2,4,3,22
01/16/2007,2007,1,1,3,16
01/16/2007,2007,1,1,3,16
12/23/2005,2005,4,12,4,23
12/23/2005,2005,4,12,4,23
12/23/2005,2005,4,12,4,23
01/21/2005,2005,1,1,3,21
01/21/2006,2006,1,1,3,21
12/23/2006,2006,4,12,4,23
11/11/2005,2005,4,11,2,11
11/11/2005,2005,4,11,2,11
09/30/2008,2008,3,9,4,30
09/30/2008,2008,3,9,4,30
11/27/2007,2007,4,11,4,27
07/20/2007,2007,3,7,3,20
07/20/2007,2007,3,7,3,20
07/20/2007,2007,3,7,3,20
07/20/2005,2005,3,7,3,20
07/20/2005,2005,3,7,3,20
07/20/2008,2008,3,7,3,20
07/20/2008,2008,3,7,3,20
07/20/2008,2008,3,7,3,20
09/30/2006,2006,3,9,4,30
09/30/2007,2007,3,9,4,30
09/30/2007,2007,3,9,4,30
09/05/2010,2010,3,9,1,5
09/05/2010,2010,3,9,1,5
11/07/2006,2006,4,11,1,7
11/07/2007,2007,4,11,1,7
10/02/2005,2005,4,10,1,2
11/07/2005,2005,4,11,1,7
01/11/2009,2009,1,1,2,11
01/11/2009,2009,1,1,2,11
01/11/2008,2008,1,1,2,11
04/19/2009,2009,2,4,3,19
04/19/2008,2008,2,4,3,19
09/18/2009,2009,3,9,3,18
08/07/2007,2007,3,8,1,7
08/07/2007,2007,3,8,1,7
06/20/2005,2005,2,6,3,20
06/20/2005,2005,2,6,3,20
06/20/2007,2007,2,6,3,20
06/20/2007,2007,2,6,3,20
11/07/2009,2009,4,11,1,7
11/07/2009,2009,4,11,1,7
11/07/2008,2008,4,11,1,7
03/30/2006,2006,1,3,4,30
03/30/2006,2006,1,3,4,30
03/30/2009,2009,1,3,4,30
03/30/2008,2008,1,3,4,30
03/30/2008,2008,1,3,4,30
11/07/2006,2006,4,11,1,7
11/07/2006,2006,4,11,1,7
05/21/2010,2010,2,5,3,21
05/21/2010,2010,2,5,3,21
05/21/2010,2010,2,5,3,21
10/11/2005,2005,4,10,2,11
10/11/2005,2005,4,10,2,11
07/19/2007,2007,3,7,3,19
10/11/2007,2007,4,10,2,11
10/11/2006,2006,4,10,2,11
10/11/2009,2009,4,10,2,11
07/19/2008,2008,3,7,3,19
07/19/2008,2008,3,7,3,19
07/25/2010,2010,3,7,4,25
03/17/2005,2005,1,3,3,17
